longitude,latitude,aver_price,latlon
113.328222,23.066001999999997,53.8,"113.328222,23.066001999999997"
113.26666999999999,23.111107,33.3,"113.26666999999999,23.111107"
113.52174,23.089178,13.7,"113.52174,23.089178"
113.3414,23.164599,43.2,"113.3414,23.164599"
113.363748,23.462562,15.9,"113.363748,23.462562"
113.33952099999999,23.019559,34.0,"113.33952099999999,23.019559"
113.46378999999999,23.099667999999998,33.6,"113.46378999999999,23.099667999999998"
113.32834299999999,23.280517,33.9,"113.32834299999999,23.280517"
113.42658999999999,22.933179,49.0,"113.42658999999999,22.933179"
113.38386299999999,23.007820000000002,39.3,"113.38386299999999,23.007820000000002"
113.552318,23.113042999999998,22.0,"113.552318,23.113042999999998"
113.21233600000001,23.161355,35.9,"113.21233600000001,23.161355"
113.605493,23.131306,26.2,"113.605493,23.131306"
113.30278600000001,23.277361,20.0,"113.30278600000001,23.277361"
113.33339099999999,23.110205999999998,94.3,"113.33339099999999,23.110205999999998"
113.404696,23.097325,43.3,"113.404696,23.097325"
113.250429,23.122462,160.0,"113.250429,23.122462"
113.282723,23.085727,166.7,"113.282723,23.085727"
113.323897,23.123064000000003,103.3,"113.323897,23.123064000000003"
113.22161799999999,23.069442000000002,16.7,"113.22161799999999,23.069442000000002"
113.376888,23.128195,68.0,"113.376888,23.128195"
113.29440100000001,23.144022,59.4,"113.29440100000001,23.144022"
113.275379,23.141604,87.9,"113.275379,23.141604"
113.589323,23.155856,28.3,"113.589323,23.155856"
113.34862700000001,23.118492,81.0,"113.34862700000001,23.118492"
113.357947,23.129949,73.2,"113.357947,23.129949"
113.25986100000001,23.066617,26.1,"113.25986100000001,23.066617"
113.30108,23.108082,60.2,"113.30108,23.108082"
113.337151,23.107874,95.7,"113.337151,23.107874"
113.33632,23.121668,194.4,"113.33632,23.121668"
113.273904,23.168075,53.0,"113.273904,23.168075"
113.82628100000001,23.288053,71.4,"113.82628100000001,23.288053"
113.33044,23.101007,77.6,"113.33044,23.101007"
113.49386899999999,23.177867000000003,51.1,"113.49386899999999,23.177867000000003"
113.383738,22.937214,32.1,"113.383738,22.937214"
113.35251274674,23.176554414194,110.0,"113.35251274674,23.176554414194"
113.34618300000001,23.149542,220.0,"113.34618300000001,23.149542"
113.286477,23.241327,36.0,"113.286477,23.241327"
113.328069,22.966256,34.2,"113.328069,22.966256"
113.367783,23.148296,53.8,"113.367783,23.148296"
113.48843500000001,23.197176000000002,46.3,"113.48843500000001,23.197176000000002"
113.298809,23.240432000000002,177.8,"113.298809,23.240432000000002"
113.31038899999999,22.970132,34.5,"113.31038899999999,22.970132"
113.464266,23.10453,39.3,"113.464266,23.10453"
113.376764,23.010616,43.7,"113.376764,23.010616"
113.381905,23.140151,119.0,"113.381905,23.140151"
113.435542,23.120228,48.6,"113.435542,23.120228"
113.334969,22.974651,34.7,"113.334969,22.974651"
113.366514,23.129166,66.0,"113.366514,23.129166"
113.535973,23.170896,34.7,"113.535973,23.170896"
113.465652,23.110115,43.3,"113.465652,23.110115"
113.282696,23.115561,152.0,"113.282696,23.115561"
113.318926,23.030424,29.2,"113.318926,23.030424"
113.40831899999999,23.136026,67.9,"113.40831899999999,23.136026"
113.313373,23.136629,74.1,"113.313373,23.136629"
113.24620700000001,23.079925,38.2,"113.24620700000001,23.079925"
113.264932,23.178445999999997,46.2,"113.264932,23.178445999999997"
113.20314599999999,23.11887,50.0,"113.20314599999999,23.11887"
113.35949199999999,22.938693,30.0,"113.35949199999999,22.938693"
113.21706999999999,23.160609,65.2,"113.21706999999999,23.160609"
113.51098200000001,23.163885,40.2,"113.51098200000001,23.163885"
113.458395,23.194394,36.8,"113.458395,23.194394"
113.380178,23.13309,52.6,"113.380178,23.13309"
113.23346000000001,23.147673,39.1,"113.23346000000001,23.147673"
113.28716599999998,23.143425,76.4,"113.28716599999998,23.143425"
113.56427,23.141064,22.3,"113.56427,23.141064"
113.372504,23.156010000000002,56.8,"113.372504,23.156010000000002"
113.36060400000001,23.139972,81.0,"113.36060400000001,23.139972"
113.376764,23.010616,47.2,"113.376764,23.010616"
113.24258700000001,23.082888,40.0,"113.24258700000001,23.082888"
113.341481,23.00137,66.2,"113.341481,23.00137"
113.334842,23.104318,106.7,"113.334842,23.104318"
113.33316299999998,23.033832999999998,44.8,"113.33316299999998,23.033832999999998"
113.21830800000001,23.151618,39.7,"113.21830800000001,23.151618"
113.317353,23.134723,62.9,"113.317353,23.134723"
113.33596100000001,23.12247,97.7,"113.33596100000001,23.12247"
113.2745,23.166888,53.8,"113.2745,23.166888"
113.32171399999999,23.090372,78.9,"113.32171399999999,23.090372"
113.213228,23.117115,41.3,"113.213228,23.117115"
113.39701399999998,23.09679,114.0,"113.39701399999998,23.09679"
113.412016,22.944176000000002,40.0,"113.412016,22.944176000000002"
113.48843500000001,23.197176000000002,26.7,"113.48843500000001,23.197176000000002"
113.34175400000001,23.09506,55.1,"113.34175400000001,23.09506"
113.49386899999999,23.177867000000003,40.0,"113.49386899999999,23.177867000000003"
113.17091,23.402339,18.8,"113.17091,23.402339"
113.39244199999999,23.128473,196.2,"113.39244199999999,23.128473"
