longitude,latitude,dist,latlon
121.244126,31.04927,松江,"121.244126,31.04927"
121.53056780000001,31.23972158,浦东,"121.53056780000001,31.23972158"
121.446148,31.196171999999997,徐汇,"121.446148,31.196171999999997"
121.53376019999999,31.24132805,浦东,"121.53376019999999,31.24132805"
121.25583999999999,31.040236,松江,"121.25583999999999,31.040236"
121.25809199999999,31.124545,松江,"121.25809199999999,31.124545"
121.532785,31.321813,杨浦,"121.532785,31.321813"
121.50313799999999,31.261886999999998,虹口,"121.50313799999999,31.261886999999998"
121.50393100000001,31.184457000000002,浦东,"121.50393100000001,31.184457000000002"
121.429249,31.04223,闵行,"121.429249,31.04223"
121.388411,31.250634,普陀,"121.388411,31.250634"
121.19953600000001,31.045803999999997,松江,"121.19953600000001,31.045803999999997"
121.362808,31.10631595,闵行,"121.362808,31.10631595"
121.456397,31.331925,宝山,"121.456397,31.331925"
121.46676000000001,30.924719,奉贤,"121.46676000000001,30.924719"
121.370725,31.407259999999997,宝山,"121.370725,31.407259999999997"
121.50473600000001,31.176752,浦东,"121.50473600000001,31.176752"
121.44297390000001,31.24019708,静安,"121.44297390000001,31.24019708"
121.4463817,31.14552894,徐汇,"121.4463817,31.14552894"
121.48599399999999,31.341862,宝山,"121.48599399999999,31.341862"
121.445025,30.999746000000002,奉贤,"121.445025,30.999746000000002"
121.749825,31.044906,浦东,"121.749825,31.044906"
121.382038,31.191665999999998,闵行,"121.382038,31.191665999999998"
121.67823899999999,31.231371000000003,浦东,"121.67823899999999,31.231371000000003"
121.42822659999999,31.24090706,普陀,"121.42822659999999,31.24090706"
121.259622,31.335988,嘉定,"121.259622,31.335988"
121.29750800000001,31.174697,青浦,"121.29750800000001,31.174697"
121.58953899999999,31.290138,浦东,"121.58953899999999,31.290138"
121.332853,31.081889,松江,"121.332853,31.081889"
121.678409,31.247214000000003,浦东,"121.678409,31.247214000000003"
121.39435800000001,31.109125,闵行,"121.39435800000001,31.109125"
121.51406599999999,31.236233000000002,浦东,"121.51406599999999,31.236233000000002"
121.41558400000001,31.213265000000003,长宁,"121.41558400000001,31.213265000000003"
121.198601,31.052462,松江,"121.198601,31.052462"
121.49281299999998,31.210359000000004,黄浦,"121.49281299999998,31.210359000000004"
121.40772,31.194389,闵行,"121.40772,31.194389"
121.240334,31.047132,松江,"121.240334,31.047132"
121.03139499999999,31.119975,青浦,"121.03139499999999,31.119975"
121.51406599999999,31.236233000000002,浦东,"121.51406599999999,31.236233000000002"
121.59656000000001,31.248526000000002,浦东,"121.59656000000001,31.248526000000002"
121.488277,31.294784999999997,虹口,"121.488277,31.294784999999997"
121.53973799999999,31.211494000000002,浦东,"121.53973799999999,31.211494000000002"
121.464022,31.211802000000002,徐汇,"121.464022,31.211802000000002"
121.19964399999999,31.110319,松江,"121.19964399999999,31.110319"
121.54746399999999,31.220335,浦东,"121.54746399999999,31.220335"
121.350627,31.090662,松江,"121.350627,31.090662"
121.44830900000001,31.39149027,宝山,"121.44830900000001,31.39149027"
121.21139099999999,31.022959000000004,松江,"121.21139099999999,31.022959000000004"
121.38792099999999,31.260099,普陀,"121.38792099999999,31.260099"
121.3718551,31.14767802,闵行,"121.3718551,31.14767802"
